url;alias;spf_record
sumava-bavorskyles.eu;Parkování (40);No TXT records
okulaeyewear.eu;Parkování (40);No TXT records
optiplast-eyewear.eu;Parkování (40);No TXT records
kasperskehory.eu;Parkování (40);No TXT records
susice.info;Parkování (40);No TXT records
horskakvilda.info;Parkování (40);No TXT records
horska-kvilda.info;Parkování (40);No TXT records
prasily.info;Parkování (40);No TXT records
kvilda.info;Parkování (40);No TXT records
zsamsdesenice.info;Parkování (40);No SPF record found
domazlicko.net;Parkování (40);No TXT records
šumava.net;Parkování (40);No TXT records
sumavanet.net;Parkování (40);No TXT records
sumavsky.net;Parkování (40);No TXT records
kvhgabreta.net;Parkování (40);No TXT records
posumavi.net;Parkování (40);No TXT records
kasperskehory.net;Parkování (40);No TXT records
zeleznorudsko.net;Parkování (40);No TXT records
prasily.net;Parkování (40);No TXT records
kvilda.online;Parkování (40);No TXT records
klatovy.online;Parkování (40);No TXT records
lipno.online;Parkování (40);No TXT records
susice.online;Parkování (40);No TXT records
horazdovice.online;Parkování (40);No TXT records
sumava.sk;Parkování (40);No TXT records
okula.sk;Parkování (40);No TXT records
klatovy.tv;Parkování (40);No TXT records
az-fitness.cz;Alias (50);No TXT records
ebabyland.cz;Alias (50);v=spf1 a mx include:_spf.mysho ptet.com. include:spf-zoner-zm ail.zoner.com include:spf-zone r-cloudmail.zoner.com -all
e-babyland.cz;Alias (50);No TXT records
1499.mail.zonercloud.net;Cloud Newsletter Basic (505);No TXT records
knihzr.sumavanet.cz;Alias (50);No TXT records
mlazovsko.sumava.net;Alias (50);No TXT records
sekera.sumava.net;Alias (50);No TXT records
traktoriada.sumava.net;Alias (50);No TXT records
chatasumava.sumavanet.cz;Alias (50);No TXT records
ddmnyrsko.sumavanet.cz;Alias (50);No TXT records
horizont.sumavanet.cz;Alias (50);No TXT records
hotelenzian.sumavanet.cz;Alias (50);No TXT records
kobylnice.sumavanet.cz;Alias (50);No TXT records
kvilda.sumavanet.cz;Alias (50);No TXT records
lipno.sumavanet.cz;Alias (50);No TXT records
mapy.sumavanet.cz;Alias (50);No TXT records
mestysacachrov.sumavanet.cz;Alias (50);No TXT records
mikroregion.sumavanet.cz;Alias (50);No TXT records
mokrosuky.sumavanet.cz;Alias (50);No TXT records
